especialista_id,caso_id,nota_A,nota_B
arthur,302,2,2
arthur,650,2,2
arthur,1534,3,3
arthur,1559,3,3
arthur,2076,2,2
arthur,2530,1,3
arthur,2643,3,2
arthur,2652,3,3
arthur,2679,2,2
arthur,4667,2,3
arthur,4754,2,3
arthur,4774,3,3
arthur,4824,3,2
arthur,4825,3,3
arthur,4902,2,3
arthur,4908,2,3
arthur,4930,2,3
arthur,4952,2,3
arthur,5040,2,3
arthur,5044,2,2
arthur,5055,2,3
arthur,5071,2,3
arthur,5101,3,3
arthur,5102,2,3
arthur,5245,2,2
arthur,5376,3,3
arthur,5392,2,3
arthur,5440,2,3
arthur,5475,2,3
arthur,5617,2,3
arthur,5684,2,3
arthur,5728,2,3
arthur,6177,2,3
arthur,6360,2,3
arthur,6969,2,2
arthur,7034,2,3
arthur,7724,2,3
arthur,20868,2,3
arthur,926,2,3
arthur,1025,2,3
arthur,2621,2,2
arthur,2795,3,3
arthur,3071,2,3
arthur,3289,2,3
arthur,3782,2,3
arthur,4319,2,3
arthur,4351,2,3
arthur,4500,2,3
arthur,4511,2,3
arthur,4578,2,2
arthur,4676,2,3
arthur,4764,2,3
arthur,4917,2,3
arthur,4919,2,3
arthur,5015,2,3
arthur,5123,2,3
arthur,5155,2,3
arthur,5161,2,3
arthur,5170,2,3
arthur,5270,2,3
arthur,5288,2,3
arthur,5311,2,3
arthur,5325,2,3
arthur,5362,2,2
arthur,5660,2,3
arthur,5670,2,3
arthur,5699,2,3
arthur,5763,2,3
arthur,5800,2,3
arthur,5818,2,3
arthur,5831,2,3
arthur,5844,2,3
arthur,5858,2,3
arthur,5910,2,3
arthur,6634,2,3
arthur,6930,2,3
arthur,6936,2,3
arthur,6975,2,3
arthur,6995,2,3
arthur,5,2,3
arthur,33,2,3
arthur,276,2,3
arthur,1370,2,3
arthur,1890,2,3
arthur,2507,2,3
arthur,2571,2,3
arthur,2573,2,3
arthur,2976,2,3
arthur,3179,2,3
arthur,3745,2,3
arthur,7,0,0
arthur,266,3,3
arthur,4552,0,0
arthur,4627,2,3
arthur,4681,2,3
arthur,4805,2,3
arthur,4816,2,3
arthur,4949,2,3
arthur,5036,2,3
arthur,5090,2,3
edu,7,2,3
edu,266,2,3
edu,302,3,3
edu,650,2,2
edu,1534,2,3
edu,1559,2,3
edu,2076,2,2
edu,2530,2,3
edu,2643,3,2
edu,2652,2,2
edu,2679,2,3
edu,4667,2,3
edu,4754,2,3
edu,4774,3,3
edu,4824,2,3
edu,4825,3,3
edu,4902,3,2
edu,4908,2,3
edu,4930,3,3
edu,4952,2,3
edu,5040,2,3
edu,5044,2,3
edu,5055,2,3
edu,5071,2,3
edu,5101,3,3
edu,5102,2,3
edu,5245,2,2
edu,5376,2,3
edu,5392,3,3
edu,5440,2,3
edu,5475,2,2
edu,5617,2,2
edu,5684,3,2
edu,5728,2,2
edu,6177,3,1
edu,6360,2,3
edu,6969,2,3
edu,7034,2,3
edu,7724,2,2
arthur,5124,2,3
